StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6,Q6_9_TEXT,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q25_9_TEXT,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q39,Q30,Q31,Q31_5_TEXT,Q32,Q33,Q34,Q35,Q36,Q37,Q38
2021-08-12 18:38:23,2021-08-12 19:06:04,0,76.176.64.57,100,1660,1,2021-08-12 19:06:04,R_3IQM6orY8cCq7oi,,,,,32.966094970703125,-117.12020111083984375,anonymous,EN,2019,3,1,1,"1,5",,"1,5",,4,2,1,"1,2",1,"1,2","1,2,4","1,2,3,4",1,3,3,1,1,2,1,2,2,"4,6,7,8",,7,7,3,7,3,5,5,3,,7,6,7,6,5,6,6,4,7,3,92129,1,,2,4,2,3,2,2,
2021-08-12 18:23:24,2021-08-12 19:14:51,0,47.208.115.49,100,3086,1,2021-08-12 19:14:51,R_5tGhz1rgH0WxX0J,,,,,40.876495361328125,-124.0760955810546875,anonymous,EN,2019,3,3,1,"1,2,4,5",,"4,5,6",,2,1,6,7,1,"1,2","1,3,4","1,4",2,,,,5,3,1,1,3,"1,2,6",,2,5,1,8,6,7,6,2,1,5,6,6,7,5,7,7,6,7,5,26866,1,,1,5,9,4,2,2,
2021-08-12 20:04:52,2021-08-12 20:31:10,0,174.208.101.213,100,1578,1,2021-08-12 20:31:11,R_PzV2L4mjS6vrB29,,,,,38.788299560546875,-121.236602783203125,anonymous,EN,2019,1,2,1,"1,2,3,4,6",Specifically interested in Cape Mendocino MPA and adjacent areas.,"1,4,9",Always educational to observe the different catch rates based on the different presentations.,"2,3",1,1,"1,2",1,"1,2","1,2,3,4,5,6","1,4",1,2,2,2,5,1,2,2,4,"2,6,7,9","As a kayak fisherman I have been observing and following multiple issues over the last decade; ocean acidification, starfish wasting disease, warm water blob, loss of bull kelp, bivalve mortality events in the Pacific NW during low tide heat waves. I follow these topics and read Oregon, CA and WA fish & wildlife reports. ",4,5,4,8,5,7,7,6,5,6,6,7,7,6,7,7,3,6,6,95521,1,,5,5,6,4,2,2,"Keep up the MPA surveys, 10years of data is just scratching the surface. Decades of data will be needed to demonstrate the effects of MPAs."
2021-08-12 21:30:54,2021-08-12 21:47:45,0,47.7.63.120,100,1011,1,2021-08-12 21:47:46,R_qIdrB4FmvNgEOSR,,,,,35.261199951171875,-120.654998779296875,anonymous,EN,2019,1,1,4,5,,"2,3,5,7,9",Attended special events held,"2,3",1,3,2,1,2,"3,5","1,3,4",2,,,,1,3,2,2,2,"1,2,5,6,8",,3,5,5,8,6,6,7,6,2,7,7,7,7,6,7,6,5,5,4,93405,1,,6,5,4,3,2,2,
2021-08-13 09:21:03,2021-08-13 09:32:24,0,38.95.237.249,100,680,1,2021-08-13 09:32:25,R_2qf0VEaLvlr7Cia,,,,,35.4658050537109375,-120.66719818115234375,anonymous,EN,2019,1,2,3,2,,5,,"1,2",1,2,"1,2",2,"1,2",5,"1,3,4",2,,,,1,1,1,2,2,6,,3,4,3,7,7,7,7,7,2,7,6,7,7,6,7,6,2,7,7,93432,1,,6,5,2,4,2,2,
2021-08-14 09:40:16,2021-08-14 09:57:47,0,66.214.201.38,100,1050,1,2021-08-14 09:57:47,R_1do9BGXOGhL43FC,,,,,35.313507080078125,-120.8368988037109375,anonymous,EN,2016,1,3,4,"1,2,4",,"1,4,6,7",,3,1,1,"1,2",1,"1,2","1,2,4","1,2,3,4",2,,,,1,3,1,1,2,9,Fishinf club members,2,,8,8,,8,,8,,7,4,7,7,7,7,4,4,7,4,93428,1,,6,5,4,4,2,2,There are some questions I would have answered no opinion but did not have that option
2021-08-14 11:16:20,2021-08-14 11:41:05,0,107.77.212.57,100,1485,1,2021-08-14 11:41:05,R_pDxNRL5zBb9y1Dr,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,2015,1,1,1,"1,2,3,4,5",,"1,6",,1,1,2,"1,2,5,6,7",2,"5,6,7","1,7","1,2,3,4",1,4,3,3,5,3,2,1,3,"1,6,9","CDFW emails, FGC meetings, HASA newsletters,, Reef Check volunteering,",3,4,4,7,5,8,5,4,2,6,4,7,7,7,7,7,6,7,5,95519,2,,5,5,2,3,1,1,I was stakeholder in the NC MLPA process
2021-08-14 11:31:28,2021-08-14 11:53:32,0,24.176.165.212,100,1324,1,2021-08-14 11:53:33,R_1F4wUd56auC8vjM,,,,,35.313507080078125,-120.8368988037109375,anonymous,EN,2018,1,3,4,"1,2,3,4,5,6",Renewed my faith in science and the younger generation.,"1,2,3,4,5,6,7,9",Constant learning adventure.,"2,3",1,6,8,1,"1,2","1,2,3,4,5,6","1,2,3,4",1,4,1,1,3,3,2,2,2,"1,2,3,6",,2,4,4,5,4,7,7,3,3,6,6,6,6,6,6,6,7,6,4,93442,1,,6,5,4,1,2,2,"#32 Volunteered at State fishery (feeding and stocking)for several years."
2021-08-14 23:54:57,2021-08-15 00:09:53,0,68.106.186.236,100,895,1,2021-08-15 00:09:53,R_3DwFjzCSvrlK1dM,,,,,34.44500732421875,-119.804595947265625,anonymous,EN,2019,1,4,4,"1,2,3,4,5,6",See old colleagues,"1,2,3,4,5,6,7",,"1,2",1,4,"1,2",2,"1,2","1,3,5,6",4,1,1,4,1,4,5,1,2,4,"1,2,3,4,6,7",,3,2,2,7,3,7,5,3,1,7,5,7,6,7,7,7,5,5,6,93101,1,,2,5,3,"1,3",1,1,I would love to see the results of this data you're capturing
2021-08-15 16:36:49,2021-08-15 16:55:09,0,71.93.240.178,100,1099,1,2021-08-15 16:55:09,R_3PphSC0taqv58KF,,,,,35.261199951171875,-120.654998779296875,anonymous,EN,2012,1,4,4,"1,3,4",,"4,5,6",,2,1,3,"1,2",2,"1,2","1,3,5,6","1,3,4",1,1,1,1,5,1,1,1,2,"1,2,6",,3,8,4,8,8,8,4,5,2,5,6,4,6,7,6,4,4,6,7,95661,1,,6,5,6,3,2,2,
2021-08-16 07:53:49,2021-08-16 08:19:32,0,174.85.64.226,100,1542,1,2021-08-16 08:19:32,R_ALP0riDWq28Itj3,,,,,35.261199951171875,-120.654998779296875,anonymous,EN,2016,1,4,4,"1,2,3,4,5",,"1,4,5,6,7",,"1,2,3",1,1,"1,2",1,"1,7","1,4",1,1,4,1,1,4,4,1,1,2,"1,2,3,6",,3,7,2,8,7,7,6,2,1,6,7,7,6,6,7,7,4,7,6,93401,1,,5,5,6,4,2,2,My overall experience fishing with CCFRP has been very positive.
2021-08-16 15:32:54,2021-08-16 15:49:31,0,76.176.64.57,100,997,1,2021-08-16 15:49:32,R_2WSA9Me4baCJpZ9,,,,,32.966094970703125,-117.12020111083984375,anonymous,EN,2018,3,1,1,3,,"1,2,3,4,5,6,7",,1,1,1,"1,2",1,"1,2","1,2,3,4,5,6","1,2,3,4",2,,,,1,2,1,1,3,"3,4,6",,3,6,2,8,8,8,8,3,1,7,7,7,7,7,7,7,4,7,7,92129,1,,1,4,9,3,2,2,
2021-08-16 16:05:38,2021-08-16 16:13:02,0,199.241.202.124,100,444,1,2021-08-16 16:13:03,R_1lbCWs5Unx3BASk,,,,,37.7505950927734375,-122.41210174560546875,anonymous,EN,2017,1,3,2,"1,2,3,4,5",,"1,4,5,6,7",,"1,2,3",1,1,"1,2",1,"1,2","2,3","1,2,3,4",2,,,,4,2,1,1,2,"1,2,3,9",PFMC,7,3,2,8,2,8,6,2,,6,7,7,5,6,6,6,3,6,4,94110,1,,4,5,7,4,2,2,
2021-08-16 16:14:00,2021-08-16 16:36:17,0,198.204.221.3,100,1336,1,2021-08-16 16:36:17,R_1OUZJZZHCNzSXhM,,,,,39.727203369140625,-121.812896728515625,anonymous,EN,2019,1,2,2,3,,"5,6,9",How dedicated researchers are.,2,1,1,2,1,"1,2","1,3,5",4,1,1,1,1,5,1,1,1,3,"1,2,3,7",,7,,,1,,1,,,,6,6,6,5,6,7,6,4,6,5,95620,1,,6,3,6,4,2,2,"When I was supposed rank 1-8 on impacts on marine life, Couldn't enter what I wanted that question should be tossed."
2021-08-16 16:39:37,2021-08-16 16:46:51,0,67.169.183.76,100,434,1,2021-08-16 16:46:52,R_3EyBSdRdSfeaD18,,,,,38.7942962646484375,-123.00389862060546875,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-16 16:36:38,2021-08-16 16:50:41,0,208.87.239.202,100,842,1,2021-08-16 16:50:41,R_26mpRZ7s8R6gGrV,,,,,32.779693603515625,-96.8022003173828125,anonymous,EN,2021,1,1,2,"1,2,3,4",,8,,1,1,2,"1,2",2,"1,2","1,2,3,4,5,6,7","1,2,3,4",2,,,,3,1,1,1,4,"2,3,4,5,6,7,9",Work for CDFW,1,4,2,8,7,6,5,3,,6,5,6,3,5,7,6,2,3,7,95816,1,,2,6,4,"1,3",2,2,
2021-08-16 16:29:14,2021-08-16 16:52:36,0,67.169.37.247,100,1401,1,2021-08-16 16:52:36,R_1kY7MdgHHA6GPq5,,,,,37.4720001220703125,-122.231201171875,anonymous,EN,2019,1,2,2,"1,2,3,4,5",,"1,4,5,6,7",,"1,2,3",1,2,"1,2",2,"1,2","1,2,3,4,5,6","1,2,3,4",2,,,,5,1,1,1,4,"1,2,3,4,6,7,9",scientific journals,3,3,2,8,6,7,5,4,,7,3,7,7,7,7,7,5,7,7,94061,1,,1,5,5,"2,3",1,1,
2021-08-16 17:02:08,2021-08-16 17:10:56,0,107.126.92.17,100,527,1,2021-08-16 17:10:56,R_sAqPRz9vT4MBeM1,,,,,38.7252960205078125,-120.796600341796875,anonymous,EN,2018,2,2,2,"1,2,3,4,5",,"1,5,6,7",,"1,3",1,2,1,3,1,"1,3","1,2,4",1,4,4,4,5,1,1,1,2,"1,2,6",,2,5,4,8,8,8,8,3,,7,6,6,4,4,6,6,1,4,6,95667,1,,5,5,2,1,1,2,Fished in the Bodega Mpa. I think that particular mpa was and is not a great fishery
2021-08-16 17:02:01,2021-08-16 17:19:32,0,67.169.176.151,100,1051,1,2021-08-16 17:19:32,R_3hF6BycJrfIY2zX,,,,,38.247802734375,-122.61920166015625,anonymous,EN,2016,1,3,2,1,,7,,"1,2,3",1,2,"1,2",2,"1,2",5,4,1,1,4,1,2,2,1,2,4,"1,9",internet,2,1,2,4,7,6,4,5,4,3,2,2,5,5,5,3,2,2,5,94952,1,,6,6,6,1,2,1,
2021-08-16 17:31:37,2021-08-16 17:39:28,0,67.164.17.112,100,471,1,2021-08-16 17:39:28,R_1IA9zt7XPk0cgBJ,,,,,38.43609619140625,-122.6717987060546875,anonymous,EN,2018,1,2,2,"1,2,3,4,5",,"1,4,5,6,7",,,1,1,"1,2",1,"1,2","1,3,4,6","1,3,4",2,,,,4,1,1,1,2,,,7,7,3,8,4,5,3,4,1,7,7,7,7,7,7,7,7,7,5,95407,2,,2,6,2,3,2,2,
2021-08-16 16:12:19,2021-08-16 17:45:59,0,24.130.107.244,100,5619,1,2021-08-16 17:45:59,R_1eQvr41OgZNmjWU,,,,,38.4781951904296875,-122.74749755859375,anonymous,EN,2021,4,2,2,"1,2,5",,"1,2,3,4,6",,1,1,2,"1,2",1,"1,2","3,5,6","1,4",1,1,1,1,4,4,2,2,2,"4,6,7",,3,,,,,,,,,1,7,7,7,6,7,7,4,7,3,95401,1,,2,2,4,4,2,2,
2021-08-16 18:05:28,2021-08-16 18:30:17,0,73.70.180.210,100,1488,1,2021-08-16 18:30:17,R_30l4E4oRgzuoqv5,,,,,38.4015045166015625,-122.8484954833984375,anonymous,EN,2018,3,2,2,6,I wanted to see first hand how the MPA closures affected specific areas,"1,5,6,9"," I learned that a lot of really dedicated young people are working hard to conserve our ocean resources",1,1,4,"1,2",2,"1,2","4,6",4,1,4,1,3,5,1,2,2,2,"1,4,6,8",,3,2,4,8,5,,3,3,1,5,5,6,3,4,5,4,4,5,4,95472,1,,5,4,9,2,2,1,I get what you are trying to do here. Identify your volunteer demographic a nd profile their mindset. Not too fond of being profiled
2021-08-16 19:15:36,2021-08-16 19:21:21,0,107.77.212.174,100,345,1,2021-08-16 19:21:22,R_31j8m8o3yK5eGUh,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,2021,1,1,2,"1,2",,"4,5,7",,1,1,1,1,1,1,3,1,1,1,1,1,2,2,2,2,3,"4,6,7",,3,1,1,6,6,4,5,4,1,6,4,5,5,5,4,4,4,6,4,94134,1,,2,6,9,4,2,2,
